Genes	TCGA-24-1553-01A	TCGA-36-1569-01A	TCGA-24-1603-01A	TCGA-24-1557-01A	TCGA-24-1104-01A	TCGA-61-1724-01A	TCGA-24-1464-01A	TCGA-25-1318-01A	TCGA-24-1105-01A	TCGA-24-2023-01A	TCGA-29-1776-01A	TCGA-25-2409-01A	TCGA-25-1329-01A	TCGA-61-1911-01A	TCGA-24-2298-01A	TCGA-13-1489-01A	TCGA-61-1914-01A	TCGA-24-1431-01A	TCGA-24-1416-01A	TCGA-29-1696-01A	TCGA-24-1604-01A	TCGA-29-1711-01A	TCGA-36-1570-01A	TCGA-59-2348-01A	TCGA-25-1631-01A	TCGA-24-2033-01A	TCGA-24-1103-01A	TCGA-25-1322-01A	TCGA-24-1552-01A	TCGA-25-1321-01A	TCGA-59-2352-01A	TCGA-61-1918-01A	TCGA-25-1313-01A	TCGA-13-1511-01A	TCGA-24-2267-01A	TCGA-25-2400-01A	TCGA-29-1763-01A	TCGA-61-2008-01A	TCGA-29-1690-01A	TCGA-24-2024-01A	TCGA-29-1688-01A	TCGA-24-1464-01A	TCGA-29-2427-01A	TCGA-13-1507-01A	TCGA-29-1769-01A	TCGA-24-1428-01A	TCGA-30-1866-01A	TCGA-23-1123-01A	TCGA-25-2399-01A	TCGA-61-1907-01A	TCGA-24-2261-01A	TCGA-61-1995-01A	TCGA-13-2060-01A	TCGA-24-2290-01A	TCGA-13-1497-01A	TCGA-24-2288-01A	TCGA-13-1404-01A	TCGA-24-1422-01A	TCGA-29-1710-01A	TCGA-29-1766-01A	TCGA-13-1483-01A	TCGA-13-1410-01A	TCGA-13-1488-01A	TCGA-29-1770-01A	TCGA-29-1693-01A	TCGA-30-1891-01A	TCGA-24-1430-01A	TCGA-25-1628-01A	TCGA-29-1705-01A	TCGA-13-1499-01A	TCGA-25-1320-01A	TCGA-61-1919-01A	TCGA-24-1562-01A	TCGA-29-1785-01A	TCGA-23-1122-01A	TCGA-25-1635-01A	TCGA-24-1435-01A	TCGA-24-2289-01A	TCGA-13-1485-01A	TCGA-36-1576-01A	TCGA-29-2414-01A	TCGA-29-1777-01A	TCGA-13-1501-01A	TCGA-13-1495-01A	TCGA-13-1487-01A	TCGA-24-1467-01A	TCGA-24-2027-01A	TCGA-25-1312-01A	TCGA-24-2020-01A	TCGA-29-1774-01A	TCGA-61-1910-01A	TCGA-29-1762-01A	TCGA-24-1558-01A	TCGA-61-1741-01A	TCGA-13-1492-01A	TCGA-36-1571-01A	TCGA-29-1697-01A	TCGA-61-1900-01A	TCGA-61-2088-01A	TCGA-13-1409-01A	TCGA-36-1581-01A	TCGA-24-1923-01A	TCGA-24-1550-01A	TCGA-24-1563-01A	TCGA-25-1630-01A	TCGA-25-1323-01A	TCGA-25-1623-01A	TCGA-36-1577-01A	TCGA-25-2396-01A	TCGA-24-1474-01A	TCGA-25-1319-01A	TCGA-25-2404-01A	TCGA-29-1768-01A	TCGA-59-2351-01A	TCGA-24-1551-01A	TCGA-24-1544-01A	TCGA-24-1565-01A	TCGA-25-1316-01A	TCGA-09-2056-01A
Subtypes	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Immunoreactive	Differentiated	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	NA	NA	NA	NA
PDCD6	-0.595531952	-0.311939107	0.639761045	1.741919583	-0.1337797	1.226388359	0.637539885	-0.213376274	-0.147832086	0.791949786	0.060556558	-0.390747112	0.011962702	0.434835334	-0.273076683	0.116648149	2.807312631	0.328051309	-0.016825869	1.847868003	-0.575382189	0.016967302	-0.055530215	0.314159058	-0.150523269	1.072397251	1.722938072	0.062466374	0.418279059	0.646478965	-1.452458213	0.617191391	-0.368471321	-0.678318549	0.300828771	-1.848414498	-0.082678495	0.008982507	-1.160421526	0.236711588	1.804633997	0.637539885	-0.062687655	1.056370436	1.190892736	1.958021503	1.49823277	-1.221269622	-0.300885876	-0.373708463	-0.458436517	-0.792883294	1.490162017	-0.520405529	-1.426024121	-0.714646807	0.525118786	-0.453907072	-0.434849535	2.010537785	0.144845659	-1.197248061	0.478171922	1.977604508	0.546766399	0.356605771	0.128417367	-0.967429537	0.252712468	-0.512233822	-0.895119076	0.31976678	-0.137696081	-1.80064294	0.415627426	-1.011442456	1.088606833	-0.880491424	-0.999866541	-0.527228129	-2.084314396	1.6376453	0.423929341	0.448423352	-0.627876511	0.452189312	-0.260078347	-1.782039024	0.735445036	1.93496772	0.191771511	-0.027207467	-0.447643225	-1.226649232	1.339664903	-1.051234796	0.322080458	-0.353653934	-1.204536024	-0.827391281	-2.20256816	-0.103733282	0.974038279	-0.12145111	1.086061575	-1.483728225	-1.118200371	-1.429997282	0.646921996	-2.05041079	0.143832518	-0.393585768	0.174399596	-0.056605421	-0.747512382	0.50028266	-0.220801173	-0.729403989	1.778748836
EPB41L2	-0.180133474	0.246312108	-0.955271751	-0.780065837	-0.453406015	1.065319761	1.884046359	-0.345227915	-1.462404863	1.177404267	0.287286768	-0.461569815	-0.410381107	-0.837767582	1.293038553	-3.036239145	-0.503065226	0.584194162	0.604044259	-1.077614564	0.267692476	-0.702431194	0.701103248	-1.119712808	0.860472177	-0.038230915	-0.058929221	-0.169291369	-0.306634301	1.481068907	1.911059278	-0.69386749	0.455496483	-0.014069712	0.438634333	2.950901807	-0.236567933	0.040196681	0.587238651	-0.298968388	1.375453663	1.884046359	0.165764707	-0.180726034	-1.31981057	-1.380163682	-1.338303205	-0.135388485	0.975798008	-2.292187474	-0.231260648	-0.112306595	1.070573	-0.020434704	0.949180082	0.092545677	-1.196738633	1.414598847	1.751938189	-0.431524509	-1.227766127	0.293906408	-1.489114567	-0.628037181	-0.828966669	-0.747849269	-0.324858091	0.427291548	-0.119457314	-0.91067506	0.310031978	-0.340268791	-0.577258463	-0.870290003	-0.431024782	1.938006249	0.105332814	0.857935926	0.323434833	-0.05554383	0.383381533	-1.140784876	-1.320380162	-0.583584936	0.313407205	0.795871618	0.398054398	1.569542718	-0.90589469	-0.666239873	-2.340239477	-0.495439898	-0.362625822	-0.373781872	-0.430068557	1.716635181	0.202688519	0.914521586	2.53189665	-1.552678447	-0.31308333	0.233744378	-0.304290349	-0.396578718	-0.200643556	-0.005192521	0.178128207	1.673192716	1.061787825	0.209421669	0.223158876	-0.318233976	-0.377305238	2.338694035	-0.142622697	-0.230083322	0.838042973	0.451635851	-1.139633849
HSDL2	-1.294392781	-1.873123529	0.918327488	2.843766771	1.471116406	1.285867085	-0.856123583	-0.664858616	-1.291322073	-0.945561836	-0.272630135	-0.891869989	-0.255552694	-0.205287663	0.511975976	-0.130012981	0.30067947	-0.747901826	0.501250235	1.201569068	0.010271379	0.00513014	0.131027403	0.469859095	-0.980527748	-0.303249483	0.614004602	-0.023740403	0.466156717	0.723226807	0.127445227	-0.807271995	1.455457772	-1.481777295	-1.214773263	0.343893858	0.147771709	1.175537401	-0.934253615	-1.899104546	0.037573321	-0.856123583	1.17801669	0.148940548	1.14152584	-0.31160551	-0.786850159	-0.255802098	-0.750628426	1.698144954	-0.082073005	0.212406993	-0.312400918	0.583144908	0.303343308	0.910478306	-0.259370639	-0.45522584	-1.458511162	-0.496084066	1.208325851	-1.593540439	0.424895202	0.1624028	-1.171838777	0.33351743	0.516495137	0.510439914	1.096728908	0.508531756	-0.456626605	-0.617568418	-1.638515253	0.107000349	0.54739058	1.519739322	-0.042049456	-2.110345264	-0.218045855	-1.383527174	-0.958272266	-1.146940469	0.785982767	-1.230372658	-0.323319729	0.54225806	1.153263752	0.218071175	0.581601889	1.340946367	-2.182123704	2.231781959	-0.918556945	0.145462457	1.670677843	-0.741429418	2.086693677	0.411124292	0.437277868	-1.775550041	0.11589072	1.410484527	-1.107444592	-1.550203597	0.017092541	-0.851561396	-0.443516434	1.646226699	0.171625518	0.66584732	0.659121746	0.63151826	-0.767653493	-0.016375014	0.988721685	-0.45120186	1.350696474	-0.357545353	0.625892027
ALDOA	-0.576296636	-0.81420936	0.927111029	-0.402304861	2.068072385	0.834907514	-0.287790842	0.258237447	1.678111565	0.396756434	-0.266906642	-0.124816833	1.555977683	-0.268552583	1.150166522	1.034701711	0.521760888	0.318172388	0.278267289	1.013091434	0.273849448	0.883720469	0.77730894	0.133574928	-0.159732765	0.532626404	1.65143471	-1.197769337	0.633764605	0.022228706	-0.269215182	-0.108203341	-0.831744346	1.084310485	0.163963294	-0.940697677	-0.234887008	1.231775502	-0.043298174	-0.276179638	1.509019547	-0.287790842	0.632114565	-0.189564259	-0.050450411	1.504524547	-0.433183203	-1.079582686	0.385886337	-0.242533081	-0.781339784	-0.965024857	-0.484928731	0.867554468	0.330445183	1.199773681	-2.000149803	-0.246849186	-0.779284062	-0.901107017	1.342198935	-1.726077497	0.899079607	1.286025865	-0.096822931	1.759600701	-0.498541839	-1.495283444	-0.172791305	-2.381880485	0.908774797	0.262885156	-0.052095887	0.473427003	0.333055025	-0.553651863	1.193129373	-0.421010708	-0.811629852	-0.512597407	-0.233430293	1.638907624	0.055501384	1.052604871	1.196422513	0.129760738	-1.960193053	-0.459185274	-1.57972465	0.702070327	1.524528667	-0.887513254	-0.996328321	-1.95332752	-1.925670894	-0.684077393	-0.050811569	-0.591495415	-2.070771131	-0.701585688	0.198041314	-1.269554805	0.312533881	0.418920711	0.212773139	-0.911805431	-0.261079879	0.917408825	-0.043446382	-1.934137938	0.117097244	0.736366565	-0.143185869	-0.899423912	2.118744778	0.271930084	-1.000622849	-2.689110461	0.786830927
CDH6	0.906857839	-0.218017386	-0.112818643	-0.693045282	0.157259225	1.302751994	1.762918796	1.719933023	0.682170026	0.399907228	0.902058372	-0.305684401	-0.026035951	-1.997964396	0.646551348	0.992837499	1.099251405	0.364884912	-0.843546471	-0.950680934	0.423152684	-0.556793393	0.095963274	0.784852511	0.318481395	-0.556775973	0.083658792	0.519468764	0.90124935	1.504838147	-1.78437193	-0.246112694	1.207045961	-1.562287883	0.050492121	0.722603836	0.02543402	0.765285589	0.545312341	0.098411974	-0.455141806	1.762918796	-0.886830395	1.053198811	-0.958131048	0.486487554	1.866632837	-1.835706776	1.076416263	-3.049335947	-0.161512302	-0.746858491	-1.368823248	-0.372782717	-0.427972009	1.304651469	-0.735551146	-0.213863247	-0.106693868	-0.660332499	0.162289568	0.959498267	-0.221897396	1.022702328	0.986931746	-0.965928159	0.526807622	0.503089691	-0.221699043	0.157358913	-0.940757978	0.901801788	-0.558778539	0.885925702	0.219662885	0.264645397	0.987609722	0.990570663	0.636153515	0.74179204	-1.478353103	-0.533737668	1.391343399	0.65143717	0.885424842	-0.463627724	1.471136237	-0.319224005	-0.813083424	0.285605125	0.204845081	0.854786202	-0.86624184	-0.55951952	-0.070759167	1.018307762	1.00654744	0.332472932	-0.619264	0.333386669	-2.886047302	-0.839928252	-0.551559848	0.60924316	-0.520645251	0.338072115	0.600054973	-1.147038969	-1.845825528	-1.93170329	0.723742499	-0.560815921	0.004210741	0.976090933	-1.408733584	0.460306648	-2.453712654	-2.590992838	0.033682911
PDIA3	-1.02189389	0.354914528	-0.754491864	-0.234529272	0.001749737	-0.862651555	1.330275097	-1.375963006	1.889098007	-0.691924482	1.874337868	0.031523227	-1.551525661	-0.981713753	-1.555944268	-0.250430168	-1.168462062	-1.313842006	0.108557885	0.717043049	0.635876354	-0.944078831	0.665574553	-0.055328431	0.850150446	-0.072546484	0.090781839	-0.181365515	-1.528921234	0.858192241	1.62646808	1.52759531	0.932117357	1.3825757	-0.195460628	0.966837141	0.656807197	-1.654720861	-1.633967109	0.308380554	1.094761435	1.330275097	1.478458249	-0.769604497	-0.677456807	-1.466626886	-2.353852411	-0.600385575	0.261638816	1.626323475	-0.129563999	0.865414583	1.033722176	-0.081538154	-1.476929417	-0.449113928	0.277299421	-0.094227003	-0.192595183	0.39951121	1.338614071	0.225209182	-0.177211004	-1.140969345	0.698603065	-1.620267743	-0.967520536	0.327493909	-1.82758466	-0.990275071	0.674880926	0.419514915	0.995933825	0.563190642	-0.381470224	-0.382419296	-1.224954646	0.156815274	-0.190790657	1.424036341	-1.454087119	-2.021979467	-0.463391374	0.075462468	0.361345797	-0.555901031	-0.205926637	-0.23265292	-0.914623768	0.245510574	0.627527238	-0.184806153	1.202563195	-0.003021095	1.950391893	2.09072672	1.472962815	-0.363540925	-1.035702845	-0.951530567	1.628920264	0.092850219	0.095971356	0.88236117	0.174990223	0.354027744	-0.764130295	-0.484006479	0.632825114	-0.370001271	-1.308401996	0.367322192	0.807383148	-0.313599663	0.667324766	1.291786227	0.261729143	-0.243394335	-0.961178505
SLPI	-0.385672922	0.060313843	0.200710518	-0.429695912	0.916733803	-0.040925664	-0.693097451	-0.115391459	1.246626093	1.228521111	0.024274688	1.012949379	0.190610986	0.500493189	-0.144548527	0.608470534	0.780524922	1.810046281	0.538213562	1.242861293	-0.216306515	1.29683548	-0.051669787	-0.222663415	0.974466879	0.586188128	1.15506377	0.071159035	-0.818091807	1.299059177	-0.123270672	0.07833254	-0.12166896	-0.104661588	-0.065006992	-0.163742901	0.143273331	-0.764118911	-0.371126555	-0.671605873	0.894400966	-0.693097451	0.049572474	2.199754097	1.258099887	0.486785077	1.185741494	0.227301443	0.602746894	-2.172400057	-0.52609998	-0.796869542	0.471391609	0.257296937	-0.104398959	0.231342957	-2.092744474	-0.395759215	1.037563042	0.826587256	0.431900488	2.287307668	-0.06162766	-0.032129123	2.954659935	1.182313871	-0.010601081	-1.003219146	-0.423876161	-0.155048102	-0.942160365	0.676233127	-0.149687874	0.19963416	-1.691376592	-0.404205615	-0.009454362	-0.819885192	-0.173958439	-0.627643509	-0.312187351	0.620923008	-0.208843631	0.248744156	0.235179629	-1.052709528	-0.197762747	1.247512564	-3.706880663	-2.141824199	-0.598950643	-0.703699272	-0.506103363	-0.52396925	-0.107025623	0.614757992	-0.49265576	-1.08371473	-0.962002865	0.212615457	-1.021581787	-0.557373469	-0.832504558	-0.297354393	0.744908281	0.509467081	0.511506815	-2.020817798	0.263370371	-2.398513723	-0.598337163	0.080221496	-0.656109023	-0.393317105	1.192461734	1.697574532	-0.957948661	-2.721216563	0.469727522
ANXA3	-0.700746417	-0.405279078	0.278509831	-0.03571441	0.299644976	1.098435229	0.29424619	-2.610360633	-0.080651	0.326676886	0.9148792	-0.113857266	-2.309239053	-0.424651563	1.212795528	-0.332103116	1.135908352	-1.16906521	-1.897192347	-0.343274812	-0.136448959	1.058250415	-1.515392825	0.879642432	-0.302585606	1.858523224	-0.338758236	-0.429025943	1.530535599	-0.039919184	0.806633736	0.405464201	-0.827809559	-1.305193449	-0.393376953	-0.512709355	1.023917241	-0.37886795	0.781704983	0.042191137	-1.493429034	0.29424619	-1.924440613	1.222402266	1.991548487	0.036622309	2.425306704	-0.34172161	1.520347287	-1.583624714	-0.80188084	0.241603795	0.890626111	-2.060706811	-0.823129781	0.540834078	-0.665533905	-0.58487922	-0.613519781	1.003796071	0.349499597	0.755623566	0.562378101	0.898274519	1.289288255	2.561540202	0.098215042	1.107121897	-1.069945135	0.052219307	-0.509763768	0.182249344	0.255935422	0.404999514	1.599190446	-1.272950913	-0.729083722	-0.294248453	0.328570865	-0.164699279	-1.340461724	1.158100833	0.203151818	0.719194959	0.688888259	-1.345962967	0.54959182	-0.358716424	1.116056296	1.302516473	0.957732883	0.942367205	0.761775447	0.206506071	-1.313512741	-0.070666291	-0.263642431	-0.574699563	0.083588909	-0.334826466	-0.458476453	-0.520550778	0.15752788	0.120083517	0.036687415	-1.452359343	1.059563876	-0.021718867	-0.032892205	0.547266132	-0.153086657	-0.152669824	-0.43090469	-0.048392352	-0.91610601	1.692793781	-0.878517623	-2.132445804	-1.156854667
RHEB	-1.567873439	-1.95291571	0.068728791	0.462238813	1.663830406	-1.045219977	0.230336643	-0.02874877	-2.482426533	1.702563151	-1.760236089	-0.980462687	-1.020678953	0.156294547	0.758583765	1.173634689	2.022127264	-0.065850884	-0.480250276	0.356324732	-0.888226707	0.98137529	-0.567943666	1.827299273	-0.314663031	0.251639356	0.998970639	1.064849315	-0.022632435	-0.222277344	-0.21001832	-0.943170542	0.914474291	-0.987062065	0.253843856	0.501619726	-0.417354498	-1.273324101	-0.409265114	-0.664312806	0.59349954	0.230336643	0.931671632	1.204307201	3.00663731	-0.559401154	1.839379208	0.849189145	-0.373730008	-1.511561848	0.401096939	-0.992942243	1.226535848	0.078708796	1.82557741	-0.362184859	0.362206921	-0.522409156	-0.927568214	0.095102207	-0.698377839	0.147825079	-0.479081278	0.912986282	0.474430852	1.148195291	0.936631532	-0.137497922	1.10689554	0.469560259	-0.604514905	0.039600063	-0.486488498	-0.660659292	-0.648812239	0.677747926	-0.142888786	-2.318857587	-0.52885153	-0.23833566	-1.113708478	2.354118762	0.972696893	0.971491649	-0.229815743	-1.152146937	0.269960998	0.127492284	0.908024779	-0.194792553	-0.111489163	0.616384216	0.108766997	-0.716661486	2.574610148	-0.796059467	-0.149862998	0.632025079	-1.129347359	-0.49092229	-0.973134764	-0.626540651	-1.420941568	-0.014453295	-0.212211732	-0.046061411	0.257107455	1.266240588	-0.133113467	0.624673935	-1.479434845	-0.987727828	-0.213247449	0.492133679	-1.639235177	0.083880141	-0.931045286	-0.945143299	0.417774876
