Genes	TCGA-24-1553-01A	TCGA-36-1569-01A	TCGA-24-1603-01A	TCGA-24-1557-01A	TCGA-24-1104-01A	TCGA-61-1724-01A	TCGA-24-1464-01A	TCGA-25-1318-01A	TCGA-24-1105-01A	TCGA-24-2023-01A	TCGA-29-1776-01A	TCGA-25-2409-01A	TCGA-25-1329-01A	TCGA-61-1911-01A	TCGA-24-2298-01A	TCGA-13-1489-01A	TCGA-61-1914-01A	TCGA-24-1431-01A	TCGA-24-1416-01A	TCGA-29-1696-01A	TCGA-24-1604-01A	TCGA-29-1711-01A	TCGA-36-1570-01A	TCGA-59-2348-01A	TCGA-25-1631-01A	TCGA-24-2033-01A	TCGA-24-1103-01A	TCGA-25-1322-01A	TCGA-24-1552-01A	TCGA-25-1321-01A	TCGA-59-2352-01A	TCGA-61-1918-01A	TCGA-25-1313-01A	TCGA-13-1511-01A	TCGA-24-2267-01A	TCGA-25-2400-01A	TCGA-29-1763-01A	TCGA-61-2008-01A	TCGA-29-1690-01A	TCGA-24-2024-01A	TCGA-29-1688-01A	TCGA-24-1464-01A	TCGA-29-2427-01A	TCGA-13-1507-01A	TCGA-29-1769-01A	TCGA-24-1428-01A	TCGA-30-1866-01A	TCGA-23-1123-01A	TCGA-25-2399-01A	TCGA-61-1907-01A	TCGA-24-2261-01A	TCGA-61-1995-01A	TCGA-13-2060-01A	TCGA-24-2290-01A	TCGA-13-1497-01A	TCGA-24-2288-01A	TCGA-13-1404-01A	TCGA-24-1422-01A	TCGA-29-1710-01A	TCGA-29-1766-01A	TCGA-13-1483-01A	TCGA-13-1410-01A	TCGA-13-1488-01A	TCGA-29-1770-01A	TCGA-29-1693-01A	TCGA-30-1891-01A	TCGA-24-1430-01A	TCGA-25-1628-01A	TCGA-29-1705-01A	TCGA-13-1499-01A	TCGA-25-1320-01A	TCGA-61-1919-01A	TCGA-24-1562-01A	TCGA-29-1785-01A	TCGA-23-1122-01A	TCGA-25-1635-01A	TCGA-24-1435-01A	TCGA-24-2289-01A	TCGA-13-1485-01A	TCGA-36-1576-01A	TCGA-29-2414-01A	TCGA-29-1777-01A	TCGA-13-1501-01A	TCGA-13-1495-01A	TCGA-13-1487-01A	TCGA-24-1467-01A	TCGA-24-2027-01A	TCGA-25-1312-01A	TCGA-24-2020-01A	TCGA-29-1774-01A	TCGA-61-1910-01A	TCGA-29-1762-01A	TCGA-24-1558-01A	TCGA-61-1741-01A	TCGA-13-1492-01A	TCGA-36-1571-01A	TCGA-29-1697-01A	TCGA-61-1900-01A	TCGA-61-2088-01A	TCGA-13-1409-01A	TCGA-36-1581-01A	TCGA-24-1923-01A	TCGA-24-1550-01A	TCGA-24-1563-01A	TCGA-25-1630-01A	TCGA-25-1323-01A	TCGA-25-1623-01A	TCGA-36-1577-01A	TCGA-25-2396-01A	TCGA-24-1474-01A	TCGA-25-1319-01A	TCGA-25-2404-01A	TCGA-29-1768-01A	TCGA-59-2351-01A	TCGA-24-1551-01A	TCGA-24-1544-01A	TCGA-24-1565-01A	TCGA-25-1316-01A	TCGA-09-2056-01A
KARS	0.457804027	-0.509979312	0.906371818	-0.77971793	-0.831633631	-0.658660678	-0.141265431	-1.700556387	-0.552586268	3.616653681	-0.453648366	-0.20923836	-2.523376069	0.260515726	0.194372817	0.125899803	-0.75951898	1.019099496	-0.476265791	-1.194740017	1.778871661	1.418785311	0.144634901	-0.100009724	1.295017841	-1.041084283	-0.489753181	0.10292838	-1.814571261	0.6343358	-2.571862171	1.064472206	-0.033021382	-1.532965897	0.688803714	-0.11444047	-0.627901693	0.232051863	1.055402401	-1.057801443	1.194959999	-0.141265431	1.470184892	-0.098804875	0.785058828	2.162710995	0.063535539	0.361434627	-0.443361194	0.003264676	-1.577753838	-0.094452735	1.201579291	1.74331516	0.605243635	-0.073887864	-0.094051802	-0.062803083	0.666096809	0.312348672	-0.152577664	-0.216224249	1.292220332	1.546181046	-1.363810516	-0.225846881	-0.441123966	0.430076886	-0.456838667	0.187327332	0.660139653	0.960481257	1.204742675	-0.744967626	0.789976868	-0.078570753	0.758183977	-1.313175065	-0.304758404	0.071169446	-0.594776007	-1.427588214	-0.570302789	-0.211020217	-1.400013419	0.808753058	-0.126296754	-0.55524944	-1.991470667	1.957011746	-0.869647283	-0.441217441	-0.379800972	-0.171796429	-0.586190904	-0.049332934	0.464081371	-0.960742684	-2.047606239	1.136090814	1.239252534	-0.4693204	-0.956548233	-0.428958194	1.855836859	-0.106874722	0.911474243	0.089339651	-0.077915709	0.718746964	0.114852688	-0.888237446	-0.098496956	1.155929151	-0.757120124	0.829876873	-0.172660271	-0.581798131	0.404224269
CRABP1	0.910958002	-0.894253931	0.925276677	0.667606627	0.129699545	0.341016782	0.636847207	0.046471164	0.065145154	-0.350393104	0.687243221	-1.594155564	-0.343858108	0.818685696	1.333303173	0.723063042	0.046005613	-2.488915094	1.087256624	0.689765377	-0.480763274	-1.01854865	0.992430512	1.588384529	-0.445172699	0.193374924	1.648009616	-1.005435017	-1.003725756	-0.239103279	1.063934304	-0.097593355	1.303227459	-1.423986634	-1.143255734	1.005644892	-1.28943857	-0.553153514	-0.781182062	0.078627929	1.257265009	0.636847207	0.915939302	-1.348905339	-0.145530898	-1.798916245	-1.368084416	-1.462409416	0.951927998	2.525814669	1.275874067	1.256390286	-1.8951263	-3.122494088	-0.486431294	-0.354848936	0.449442661	-0.824358943	-1.95032893	0.330777854	-0.979691406	-1.121373182	0.983404656	-0.187999996	-1.841546095	0.408558514	-0.795335342	-0.58791686	0.432284301	0.502152457	-0.055341881	-0.50803345	-0.415593765	-2.315826464	1.328211027	1.620087608	-0.660236821	0.214080854	-0.062591819	-1.020342293	-0.013757411	0.225639165	1.628120739	-0.478301093	-0.418255443	0.180154724	0.334877181	-0.745264178	-0.639789532	0.180881164	0.120370677	0.495606629	1.167833926	0.15808406	0.441885459	0.249478529	1.169876543	-0.337911349	1.542371581	-0.313031013	1.071414338	0.846216503	0.927293431	0.58574561	-1.104020151	-0.079490566	-0.286717501	0.164328801	-0.7324287	-0.000539849	-0.912723946	0.44722109	1.194832268	-0.036724118	-0.718473199	0.039342222	1.29632485	0.739350892	0.343856406
RAB6A	0.125587899	-0.844526727	0.8347927	1.809069864	0.312347226	-0.047761481	-1.128876435	0.142513603	0.250169985	0.365084746	0.748834296	-1.348552273	-1.311100419	0.724616954	-0.20904761	0.972001788	-0.001272485	-0.085366841	-0.847891994	-0.696408058	1.585350313	0.464299448	0.359083541	1.554205754	-0.598501121	-0.012198348	0.495402282	0.354736386	0.137004842	0.66501888	-0.489109932	0.252448222	0.441630094	0.260340848	-0.503657984	-0.725132946	-0.106745841	0.221452093	-0.904575418	-0.759591439	-0.18878684	-1.128876435	-0.952271416	0.256192483	0.368707625	1.274622824	0.262570092	-0.123022955	-0.266360745	0.5753945	-0.644992213	0.082427441	-0.891304195	-0.126722109	1.129897171	-1.666117904	-0.563014935	0.606771711	-0.485173502	-0.720455439	0.562390648	0.058191236	0.023184771	-0.61467417	0.776577096	0.731125588	0.600804807	-0.131568533	-0.099293282	0.824788503	-1.062288617	0.17961559	0.180873875	-0.189877972	-0.284797245	0.937375987	0.075659413	0.34828432	-0.714668651	-0.134064685	-1.692413341	-0.677435959	2.114876865	-1.074052391	0.026135882	-0.803297087	1.281067501	0.99519687	-1.679523283	-0.243543963	-3.159333575	0.178264861	1.450925221	-0.628531731	0.558419845	5.836670432	0.146939561	0.177152163	-0.577339667	-1.402474219	-1.298097977	-1.180849473	-0.018463156	0.812786581	-0.790835974	-0.64225444	0.417282114	0.391376801	-0.510388544	-0.042491388	2.485053009	-0.630771039	0.471140027	-0.128425276	0.713030381	-0.631558406	-1.219494318	-0.725887641	-0.656756161
SARS2	-0.933320843	-0.77720691	-0.05361175	0.051821839	-0.360601405	-1.146851657	0.777747122	-0.011323804	1.065790058	0.073157757	-0.185151368	-0.123599189	0.470393166	0.027911788	-0.097842269	-1.051170259	-0.532534367	0.898887644	-0.761340198	-1.245461286	-1.022582105	-1.628348672	0.273828173	-0.442321146	-0.058146172	1.092072372	-1.34334891	0.249549237	3.187315498	0.673013405	0.785653546	-0.540122517	-1.374114122	-0.136416222	0.063921986	-1.21478633	0.74168148	-0.490601	-1.464486154	0.156075711	-1.461007739	0.777747122	-1.026863669	-1.010290379	-1.01318489	1.325661808	1.385190922	0.032325204	1.022889079	-1.10291643	2.075467023	0.964614278	-0.288815546	-0.289590953	-0.358697952	-0.159320318	-0.661377564	-0.242702443	-0.905910881	0.547132153	-1.404845367	-0.137487695	-0.280189517	-1.143101262	-0.569944867	-1.540295904	0.301075552	0.072715641	0.581303621	0.337526917	0.273735845	-0.419134163	0.528398887	-0.382363657	-0.319062017	2.114554362	-0.930162551	0.73874025	-0.307262771	0.421421255	-0.501119958	-2.374862263	-0.208720245	-0.579352415	0.585026688	-0.816248646	0.920017804	2.414289728	0.598398211	1.013223066	0.747726819	0.757575623	2.266481605	2.136544609	0.766581464	0.966289241	-0.596101677	0.256280281	1.018612899	0.436697546	-0.838095362	0.485030964	0.133889554	-0.076867574	-0.208648748	1.183186578	1.58075979	-0.073039774	0.334281223	-0.102529663	-0.863053657	2.277670954	-1.266444037	0.256627428	-0.388446668	2.019989252	-1.334343186	-0.669226675	-1.460085108
SAMHD1	0.038684755	0.098011076	-0.395895533	1.986662572	-0.844060231	0.029186659	-0.710772524	1.112766462	-0.970825306	-1.883440536	-0.483432075	-0.247078485	0.977719699	0.802606251	-0.552138286	-1.069695086	-0.250795021	-0.775763798	1.197985255	-0.088219015	0.601054341	-0.26131196	0.211639122	0.606962956	2.581253687	-1.574391205	0.404131068	0.848311617	-0.695560314	-0.363995333	0.455665723	0.116714802	0.773068949	-1.134033268	1.578312131	-0.133670841	0.284130004	-0.920294868	-0.757486703	-1.968485182	1.552091976	-0.710772524	0.185510309	0.494744504	0.580263208	0.196323692	-0.845199515	1.415654336	-0.407731013	-0.050221588	1.098173097	0.169617083	0.168239905	0.589761886	0.000180818	0.468769299	-1.071595677	-0.316230482	0.215904181	-0.799328422	-0.245257943	1.636506236	-1.199481155	-1.504416789	-1.237159982	-1.600313549	-1.752605136	1.001081335	0.508650613	-0.261813543	0.397138355	0.271362946	-0.425849056	-0.072990357	0.724307508	0.557017259	0.283400941	0.226365369	-1.690654909	0.302910433	-2.276810297	-1.85212079	0.236298974	-1.373940761	-1.528837928	0.352310883	0.823565025	-0.55289545	-0.398438993	-0.160501425	-0.515190511	0.511111538	0.048827229	2.491172603	2.790887623	-0.294663637	0.875453889	-1.071328272	-0.681616583	-0.700579563	1.917020425	0.908138337	0.446325196	-0.915225113	0.058911381	-0.389018649	1.377602266	-0.083217331	1.118574751	2.085386467	0.180119853	0.77056219	-0.488357164	0.435151214	-0.200612423	-0.420163806	1.227796287	-1.557632135	-0.624335734
HMOX2	-0.147754955	-0.119083669	0.748999041	0.588372432	-0.070299535	-0.408041938	0.975791884	-1.10961283	0.987986423	-0.449499351	0.861552699	0.405893623	-0.82008894	0.633861344	0.507684196	0.322553668	-0.444934589	0.183011154	0.865621806	-0.422450453	0.222980777	-0.425961677	-0.603838483	-0.76101102	0.289601617	-0.243897057	1.027268729	-1.409299891	0.614823766	-0.709037633	-0.548550926	1.214429247	-1.408861972	0.031731248	-0.423357151	4.473456275	-0.458645549	-0.035795498	0.056179168	0.903768779	-0.840030705	0.975791884	0.608258539	0.466997586	0.199532326	-0.727290055	0.601926796	-0.614118694	5.086181265	0.024841764	-0.002477963	-0.82189095	-0.695590174	-0.816432571	-1.282041907	-1.391132665	-0.03101559	-0.898638577	0.342011188	-0.878120383	1.118625905	-1.659824067	-0.450293573	0.438673589	0.633732727	0.100225999	0.610402337	-0.251630084	-0.123524979	0.684860795	-1.112619762	-0.289780084	-1.076783377	-0.966319806	-1.188057443	-0.530537263	0.822351088	0.890733376	0.68526929	0.440636888	1.776106937	-0.296171078	0.448233491	-0.156809689	0.231785783	-0.137849613	-0.708556922	-1.037602157	-1.004176467	1.010755417	-1.688299862	-0.075900856	-2.517936193	-0.561707944	0.440128137	-1.032070769	0.329987671	0.548546647	-1.711683427	0.162761885	0.366495808	-0.555068118	0.967133031	0.221635403	-0.976168327	-0.930286891	0.568328832	1.03712375	0.158854268	-0.112966666	0.252612015	-0.526101063	1.414344937	-0.10373621	1.378377361	-0.024101688	0.375417824	-0.447084697	0.82468419
SPR	0.012796504	-0.200671398	-0.011239553	1.368170526	0.667231707	1.27489447	1.046296188	0.840402074	0.507327305	-0.002714671	0.297858388	0.710144554	-1.079397503	0.056676732	-0.669571595	2.19119059	1.249805621	-0.225441824	0.921801839	0.290252067	-0.061752364	0.765763389	0.080705689	1.133466319	0.01173062	0.283531171	1.125872199	-0.443513268	1.128482934	-0.602900854	-3.196171491	0.286835204	0.019897471	0.278788819	0.435388633	-0.172110733	-2.096863419	0.045540787	0.541629789	0.559987511	0.164344466	1.046296188	1.217702796	-0.133704363	1.172975175	1.146210764	-0.634317109	-1.506446338	1.651036234	2.549433018	0.028900729	-0.847080478	0.187896858	0.836312823	-0.123456948	-0.99201472	-0.36292707	1.338567929	0.185142498	0.12985719	1.900774248	-0.931500289	0.52695022	-0.664762767	-0.942210677	0.006149274	-0.567459329	-0.249860322	0.923201502	-1.43666191	-0.329605067	0.580729965	0.213173428	0.929908401	-0.212530288	-0.248230648	-0.15170917	0.637790177	-0.008116864	-0.179081236	-0.561787987	0.7450404	-0.362334387	-0.312644534	-1.225712994	-0.389835432	0.035121026	-0.699630777	-1.359093613	0.278045664	-1.062193094	0.554106309	-1.617372109	-0.543419589	0.652013	0.065215806	0.271771899	1.045933157	-1.17900206	-3.735119669	-2.660044409	-0.803448805	-1.162715623	-0.247392714	0.845905056	-0.203597431	-0.603969473	0.107285828	0.041418708	-1.820876551	-2.50992515	0.740067341	0.76343132	0.19908505	-0.090534671	-0.071725932	0.045805433	-0.145507071	1.497676088
ACAP2	0.040595303	0.176998547	0.84935698	-2.855565283	0.766978391	1.502092607	-0.873786486	0.106049642	0.141077717	1.805565299	-0.111887977	-0.616186367	-0.459599748	1.891193174	0.528529566	0.42382876	0.896978615	-1.002370899	-0.551529128	-0.7958012	0.198281885	-0.241210672	1.050699023	-2.545962354	-0.931780224	-1.527412146	0.554916644	0.513952295	-0.958274793	1.908914817	-0.486756863	1.682682273	-0.825685698	1.026608868	-0.685975396	0.223358523	-1.993081185	0.667619369	-0.834400885	-0.795415246	-0.330602179	-0.873786486	-0.52323029	0.068267391	-0.032915372	-0.544388184	-0.084532173	0.526768404	0.265526363	-0.94398853	0.914343729	0.278482468	0.190364956	0.356310712	0.684571996	0.307383698	-0.465439436	-0.19081557	0.896635456	-0.011674338	-0.400866757	0.970962361	0.778541367	-1.866461085	1.872907511	-1.681721742	0.246642136	0.607241049	-0.810254427	-0.478659784	0.381568601	-1.161794162	1.012143138	-1.988855729	1.030207843	-1.088045552	0.712845975	0.114400223	-1.330383227	-0.062368338	-0.079725358	0.217747283	-1.399267439	1.316139604	-0.367471895	0.640326049	0.864330366	-0.280914896	-0.871878039	-0.898440007	-2.30203882	0.221779507	1.167983155	1.282948253	0.605731805	0.431377927	2.578364182	0.295926993	-0.06373066	0.428329016	0.761880118	-0.223699194	1.197511747	-0.790639696	-1.740138764	1.159714002	0.319684272	2.04362647	0.579131058	0.032439282	0.019997613	0.278419694	-1.869471436	0.066835013	-0.135513201	0.498471833	-0.64851985	-0.339923809	-0.725878621
ANPEP	-0.264127557	-0.275594002	-0.843573373	1.326542473	1.980881815	2.457347379	0.234509323	1.574243181	-0.506055709	3.10038018	0.024091485	-0.255368386	-0.304733461	-1.168487961	1.492952402	-2.141089081	-0.873374986	1.259006846	0.122037038	-0.105303355	-0.157365062	-0.421381612	-1.578930461	2.578353363	0.093998082	0.344974281	-1.277189457	-0.485614843	-1.716640819	-0.818223067	-0.416790892	-0.175454895	2.227905549	0.792958133	0.100314883	0.634595129	-1.185157609	0.939214985	0.059393735	-0.185807228	3.204995883	0.234509323	1.211124943	0.842954416	-0.125685471	0.887488678	-1.036738684	-0.576845728	0.272261863	-0.445552066	-0.378817641	-1.000350494	0.904333673	0.880669469	-0.085275029	0.054801963	-0.74210958	0.291040457	0.040762393	-0.011462894	0.382977761	-0.101481964	-0.635854279	-0.31161513	-0.269399564	-0.828678441	-1.469302756	0.001669804	0.219111545	-0.680812535	0.726435838	0.768087388	1.177968054	-0.747497341	-0.043253798	0.307515115	0.467483322	0.315990704	0.626963079	0.628308048	-0.755286449	-0.550477135	-0.380087521	-0.841589285	-0.83928432	-1.021566048	-0.517289296	-0.447408913	-0.448998054	-0.040447137	-0.474113118	-0.735115107	0.664828259	-0.667277881	-0.97676204	-1.535186093	-1.402534701	0.267801704	-1.039970251	-0.564125586	1.740459087	0.274760815	0.034027054	0.298271021	0.472338318	-0.481249818	0.668586999	-0.588073669	-0.736618617	-0.700263471	-0.2792864	0.279816946	-0.774990678	2.20664462	0.386708091	-1.2868332	-1.92395901	-0.123497483	1.711077096
SLC34A2	0.881359967	1.547891058	-0.393062469	-0.031370144	0.851657792	1.71110003	-0.51160237	1.257752626	0.374605383	0.254982884	0.196511255	0.973746171	0.996229843	0.087729452	0.876073646	-1.530193648	-0.100905366	-0.050575826	0.36286953	-0.875207774	0.467487498	0.780266425	0.789266653	0.750804153	0.218486251	-0.136495047	0.80247876	0.745927883	0.860644965	1.425375142	-1.128184221	0.383010871	0.855090884	1.214476408	0.858432866	0.13826464	0.61488452	0.47450627	-0.031310024	0.235744679	0.456878485	-0.51160237	1.021602279	0.533933306	0.086734782	-0.382115065	-0.464080423	-0.096873742	0.596735884	-3.589484279	-0.749206445	-0.46110173	0.010162993	0.386614726	-0.30708584	1.007994691	-2.04546503	0.709464604	1.123788945	0.176205978	0.772266677	0.508444828	0.210429874	0.465138854	0.665797841	-0.672503111	0.182847483	-0.622770228	1.059779713	-0.128301197	0.072413444	0.261715095	0.725561045	1.260893578	0.024966214	0.274330852	0.88031568	0.092584811	0.029992184	-0.511436256	-0.491591165	-0.657035353	0.135610191	0.447545199	-0.480557022	-0.124327756	-0.232940494	-0.04248791	-3.393257159	-1.475980304	-0.290544084	-0.351674859	0.163055107	-0.362329868	-2.298108385	-0.262589995	-1.003562827	-1.410153225	-1.181171332	-0.756710032	0.038125416	-0.432273888	-1.908675719	0.685168394	0.568541006	-0.625376983	-0.487576377	-2.172590187	0.548189072	-1.001050005	0.204983184	1.053973388	-0.199177686	0.675638805	-0.268690026	0.091048911	-1.232508893	-4.371975888	1.471317035
PKM	-1.047666059	-1.159370746	-0.588821476	-1.149387483	-0.504811823	1.515329592	0.036300165	-0.990733454	0.478211585	2.198561484	0.162789296	1.09299288	-0.381282448	1.22443198	0.685462611	2.117920388	0.801364562	-0.146775037	-0.011146847	-0.69224979	-0.32435699	-1.226691894	-0.255854545	-0.394601569	0.188931994	-0.304711376	0.891391789	-0.720036509	2.650041661	-0.714207363	0.721908839	-0.446486745	-0.318531808	1.61956635	0.819012393	-1.241761248	-0.698731614	-0.677770245	0.214280009	-1.19441229	0.537236427	0.036300165	0.243087842	0.095801575	-0.392708556	3.056026103	-0.544774916	-1.63750752	0.178958724	0.73013733	-1.372501294	0.489167569	0.119304628	0.816285394	-0.616703312	-0.33731563	0.095975238	-0.618137069	-0.897869178	-0.551296441	0.027869781	-1.453208268	0.65034999	-0.341918474	-1.034497807	-1.168056823	-1.812698199	-1.64274103	1.126759081	-0.061876135	-0.434843854	-0.701290601	0.784438872	0.611087332	1.472602439	0.708915109	-0.767133494	0.459353185	0.447494934	0.721050387	0.234762832	-0.438736636	0.524618505	0.197182297	0.763824792	-0.745379468	0.515866449	-1.057126838	-1.208477079	0.520462823	1.954462794	-0.248869879	-0.118329539	-1.276935221	0.712330209	1.191491132	1.783910905	0.615872038	-0.996085875	-0.783211959	-1.315451738	-1.165186001	-1.423675917	1.161476304	0.707007191	0.253454966	-0.172163205	0.77921875	-2.117740182	-1.334010988	0.433518834	0.184606447	0.070291007	-0.214285451	2.194770629	0.335401667	-0.225942075	-1.536733876	1.067446104
SHMT2	-0.466994817	-0.464673933	1.536216934	-0.178551306	-3.518386399	-0.746542192	0.290631948	-1.264574074	0.036552552	-0.246259211	0.162178457	-1.024524921	-0.066009647	-1.981179081	-1.484188968	-0.443533259	0.451800898	-1.942501571	-0.79371387	0.397202629	-1.366569584	-1.056935079	0.061061672	0.24057909	1.084700232	0.570301431	-0.86281309	-0.027911412	-0.560117793	-0.803448974	0.820582493	-0.920398243	-2.226501738	-0.68902033	0.185388366	0.821146059	-0.325210794	0.199776602	0.916133202	0.535437488	-0.126783587	0.290631948	-1.762716482	-1.653013895	0.769941565	1.641476271	-1.026366461	0.159914123	0.611081907	1.12040259	0.521400395	0.478250274	-0.965688179	0.761454483	1.047740427	0.486618767	0.816171808	-0.841289535	-1.757765161	-0.083785748	-0.429478537	-1.26067601	0.281007876	0.328735775	-0.911408243	0.766894444	-0.83992756	0.183347174	-0.104637514	-0.150058815	-0.778309566	-0.647048677	1.274615333	0.165473785	-0.114083085	0.864168735	-0.285631585	-0.712498365	-0.369826095	0.177092224	1.261181838	0.928260049	-0.582995915	-0.363832002	0.759700489	0.290522964	0.416460413	0.233366023	-0.962950736	1.963136755	0.250405771	0.733740613	-0.362437307	0.168303896	0.52478249	1.571798843	3.065519683	0.343607374	1.473884092	0.511062429	-0.25144278	-1.217016678	0.374777438	-0.202818836	0.543128249	-0.584751396	0.132310431	2.238455253	-1.176989932	-0.241483932	-0.178420641	1.127465437	-1.474545803	0.988409319	0.277756188	1.792417217	0.473676536	0.496748886	0.177443562
SP100	0.233302932	-0.288025274	1.10484439	-0.968891002	0.259937984	0.113650457	-0.013118427	-0.710093369	-0.814834627	-0.04665193	-0.036265351	-0.538154257	-1.316685752	0.537511879	0.431520357	0.356014663	-0.331844911	-0.886874707	0.267864992	1.529264498	2.036757694	0.666583873	1.364409665	0.262974492	0.255421804	-1.274973903	0.506174244	1.199022118	-1.140663157	0.670436996	0.973867999	0.07797046	1.90969753	0.928496194	0.889191386	-1.162242397	0.721912342	-1.854345799	-0.042450667	-0.449184683	0.569852526	-0.013118427	0.488629885	1.564586492	-0.205129516	-0.767495073	0.842622391	2.521411115	0.972174561	1.73356789	0.963770555	-0.081445419	1.095671757	-0.97058755	0.330917343	0.68180882	-1.757252616	0.654001296	1.00523596	1.986327638	0.224019369	0.621610302	0.015865263	-1.24329018	0.064875115	-1.471437238	-1.148934239	0.104767223	-1.745981948	0.292917305	0.509234906	0.196319667	-0.443931068	0.106217698	0.462028216	0.047080639	-0.295524929	0.545975322	-0.571890894	-0.366392794	-1.029902277	0.273701693	-1.360132342	0.388140279	-1.239270116	0.416654923	-1.727101526	-0.209209675	-2.801024721	-2.526884238	0.507783622	-1.833281823	-0.145967824	0.783526436	0.693105866	0.022746131	1.399510085	-1.138118198	-1.862177232	-0.130118432	0.960411341	0.497404395	-0.465216853	0.194069684	-1.086444677	0.435833543	1.103440987	-1.449935379	0.849490941	-0.763185442	0.968935465	-0.105788771	-0.008537788	0.119569744	0.432656157	-0.164096999	0.570830604	-2.167959187	-0.656340102
ACSF2	0.139146216	-0.154415238	0.127308357	0.080057133	1.038962176	0.011869507	-0.028671842	0.681495725	-0.66674556	-0.190321854	-0.431096628	1.10952677	-0.142215418	1.250227541	0.706707987	-0.117276301	1.057245742	1.536205051	-0.398023348	-0.174924668	-0.246248949	2.27903717	-0.721310486	-0.288454846	0.876472093	-0.147667134	1.510094909	-0.192084118	1.050590527	-0.473764138	1.135193435	-1.787975186	-1.942482953	-0.498133782	1.970453421	-0.390529931	-1.418113823	0.34059355	-0.137174724	0.775464744	-1.011477196	-0.028671842	-0.020886413	1.986923482	0.624811053	-0.523431115	1.299826779	-1.048284565	-0.138580611	-0.435142716	-0.412166593	-0.554094921	-2.17906487	-0.852800653	-0.203995695	0.401288814	1.490080107	-0.392757202	0.876297247	-0.517868593	1.355199207	0.008192209	-1.475626637	-1.084135415	0.574446896	-0.200571968	-2.275001383	0.288177355	0.324040013	-0.45848841	-0.069823381	-0.044052113	-0.59477097	1.020081595	-0.753915245	-0.146435507	-0.797962808	-0.275973958	1.302737263	0.298618779	0.059667825	-0.770831483	-1.582737712	0.537956063	2.248246575	-0.935403057	0.583279642	-0.229344088	0.352826361	1.435607824	-3.5674753	0.416302539	-0.153012416	-0.36314159	0.416424499	-1.279267633	-1.32933933	1.195629916	0.428805816	-1.812305911	0.366264177	-0.292336904	-0.411653743	0.585991162	-0.42903235	0.41238654	1.227031932	0.306249594	1.091366599	1.142824304	-1.441336896	1.697373811	-1.433811114	-1.076530105	-0.381886583	1.391778875	-0.410497873	0.051023995	-0.028925033
AHSA1	-1.316496421	-0.06658817	1.080337148	1.035459515	-0.823646052	-0.4622284	0.657379774	-0.245437294	1.03101774	0.636592215	2.246064281	0.0950609	-0.821602783	-0.512489369	-0.349693236	3.347266223	0.747413934	-0.738606284	1.488379503	1.143912411	-0.927117751	0.81351048	1.922326964	-1.10939236	-0.374575575	-1.108918538	1.898745103	-0.694467317	-0.651743732	-0.979458824	0.365134282	0.486601881	-0.207988957	-0.707240154	-0.166863185	-0.392503307	-0.949508595	0.092437681	-0.839096134	-1.1241956	1.106738931	0.657379774	-1.27582409	-0.548079936	1.089104879	-0.369792735	-0.086897036	-0.738108197	0.242370638	0.565887176	-0.154205345	0.641567098	1.587683166	0.070278713	1.929686064	-0.941390736	1.273138635	-1.292075098	-1.279330315	0.568790392	1.101698999	-0.726791774	-0.093668996	-0.544493781	-0.683054771	-1.737874149	1.005266234	-0.799841995	0.464164431	0.070592426	-0.95037127	0.227746324	0.139648051	-1.429954353	0.339322237	-0.26813083	0.510541539	-0.317016684	-0.265712299	-1.00205991	0.115978405	-0.585302464	0.320077882	0.732833431	-1.553797049	0.922280074	1.084182731	-1.351127576	-0.609324633	0.704884059	-0.029219442	-1.858375008	0.185276315	-2.139617884	1.238261775	-0.435208199	2.313150455	1.789291932	-0.960674856	0.660182632	0.431203232	0.730422138	0.203831976	-0.244576321	1.586085886	-0.031087414	-0.863751798	1.618099769	-0.343224251	-0.768574381	-0.115558796	-0.477878749	0.557975451	0.34455574	-1.39171935	-0.009060403	-0.844742761	-0.133099094	-1.762231648
