"TCGA.24.1553.01A"	"TCGA.24.1422.01A"	"TCGA.36.1569.01A"	"TCGA.36.1581.01A"	"TCGA.24.1603.01A"	"TCGA.29.1710.01A"	"TCGA.29.1688.01A"	"TCGA.24.1467.01A"	"TCGA.24.1923.01A"	"TCGA.24.2027.01A"	"TCGA.24.1550.01A"	"TCGA.24.1557.01A"	"TCGA.24.1563.01A"	"TCGA.24.1104.01A"	"TCGA.61.1724.01A"	"TCGA.24.1464.01A"	"TCGA.29.2427.01A"	"TCGA.25.1318.01A"	"TCGA.29.1766.01A"	"TCGA.13.1483.01A"	"TCGA.25.1312.01A"	"TCGA.24.1105.01A"	"TCGA.13.1410.01A"	"TCGA.13.1488.01A"	"TCGA.24.2023.01A"	"TCGA.13.1507.01A"	"TCGA.29.1770.01A"	"TCGA.29.1776.01A"	"TCGA.29.1693.01A"	"TCGA.29.1769.01A"	"TCGA.24.1544.01A"	"TCGA.24.1428.01A"	"TCGA.24.2020.01A"	"TCGA.30.1891.01A"	"TCGA.25.2409.01A"	"TCGA.25.1329.01A"	"TCGA.24.1430.01A"	"TCGA.61.1911.01A"	"TCGA.30.1866.01A"	"TCGA.24.2298.01A"	"TCGA.25.1628.01A"	"TCGA.13.1489.01A"	"TCGA.29.1774.01A"	"TCGA.61.1910.01A"	"TCGA.23.1123.01A"	"TCGA.61.1914.01A"	"TCGA.25.2399.01A"	"TCGA.24.1431.01A"	"TCGA.29.1762.01A"	"TCGA.24.1565.01A"	"TCGA.24.1416.01A"	"TCGA.29.1696.01A"	"TCGA.61.1907.01A"	"TCGA.25.1316.01A"	"TCGA.24.2261.01A"	"TCGA.61.1995.01A"	"TCGA.25.1630.01A"	"TCGA.24.1558.01A"	"TCGA.13.2060.01A"	"TCGA.09.2056.01A"	"TCGA.24.1604.01A"	"TCGA.24.2290.01A"	"TCGA.29.1705.01A"	"TCGA.29.1711.01A"	"TCGA.36.1570.01A"	"TCGA.25.1323.01A"	"TCGA.59.2348.01A"	"TCGA.25.1623.01A"	"TCGA.25.1631.01A"	"TCGA.24.2033.01A"	"TCGA.24.1103.01A"	"TCGA.25.1322.01A"	"TCGA.13.1499.01A"	"TCGA.36.1580.01A"	"TCGA.61.1741.01A"	"TCGA.36.1577.01A"	"TCGA.25.1320.01A"	"TCGA.13.1497.01A"	"TCGA.61.1919.01A"	"TCGA.24.1552.01A"	"TCGA.24.1562.01A"	"TCGA.25.1321.01A"	"TCGA.25.2396.01A"	"TCGA.24.1474.01A"	"TCGA.59.2352.01A"	"TCGA.29.1785.01A"	"TCGA.61.1918.01A"	"TCGA.25.1313.01A"	"TCGA.23.1122.01A"	"TCGA.25.1635.01A"	"TCGA.25.1319.01A"	"TCGA.24.1435.01A"	"TCGA.13.1511.01A"	"TCGA.13.1492.01A"	"TCGA.25.2404.01A"	"TCGA.24.2288.01A"	"TCGA.24.2267.01A"	"TCGA.29.1768.01A"	"TCGA.13.1404.01A"	"TCGA.25.2400.01A"	"TCGA.36.1571.01A"	"TCGA.24.2289.01A"	"TCGA.29.1697.01A"	"TCGA.59.2351.01A"	"TCGA.24.1551.01A"	"TCGA.61.1900.01A"	"TCGA.13.1485.01A"	"TCGA.29.1763.01A"	"TCGA.36.1576.01A"	"TCGA.61.2008.01A"	"TCGA.29.2414.01A"	"TCGA.29.1690.01A"	"TCGA.24.2024.01A"	"TCGA.61.2088.01A"	"TCGA.29.1777.01A"	"TCGA.13.1501.01A"	"TCGA.13.1495.01A"	"TCGA.13.1487.01A"	"TCGA.13.1409.01A"
"FABP5"	-0.143365	0.24857	0.24857	0.043	0.555	-0.06593	-0.149215	0.408	-0.587	-0.166	1.41	-0.00543	-1.4	0.0619	-0.45543	-0.26643	-0.57443	-1.13943	-0.07453	-0.03943	-0.04773	-0.00991	-0.01743	0.528	-0.526	-0.27543	0.80057	-0.362	-0.315765	0.30757	-0.07743	0.422	1.16	0.04357	0.162785	1.28657	0.434285	-0.421715	0.486	0.19957	0.713785	0.785285	0.179	-0.58443	-0.279	-0.412	0.87657	-0.01343	-0.259715	-0.50443	0.55357	-0.04403	-0.568215	0.735	-0.30043	0.056005	0.38	-0.77143	-0.82943	-0.68943	-0.621	0.238285	-0.46743	-0.30643	0.12357	0.59957	0.04757	0.150385	0.32857	-0.33043	-0.254765	0.08057	0.33	-0.68543	0.079285	-0.10913	0.269	-0.30643	-0.0921	0.798	-0.107215	-0.304	-0.27943	0.21157	-0.11353	-1.14	-0.55343	-0.35743	-0.37343	0.319	-0.355	-0.456215	-1.31343	-0.42943	-0.468215	0.595	-0.124	0.429785	-0.12763	0.278	-0.35543	-0.579715	0.610285	-0.79143	0.195	-0.393	-0.13083	-0.156935	-0.133	0.229785	-0.516	-0.03843	-0.494715	-1.67343	0.306	0.52457	0.117	0.45557	0.46857
"TJP2"	0.074525	-0.49535	-0.29835	-0.109	0.0933	-0.46035	-0.213225	0.0876	0.258	0.0739	-0.387	-0.43435	-0.194	0.388	-0.64035	-0.45535	0.16265	-0.32535	-0.34035	-0.05635	-0.50235	-0.216	-0.42635	-0.189	-0.28	-0.58235	-0.30735	0.0513	-0.286175	0.27465	0.10165	0.245	-0.484	0.27565	0.410325	-0.33035	0.116825	-0.079075	0.376	0.41165	-0.171475	0.409325	-0.387	-0.11325	-0.213	-0.384	-0.28035	-0.24975	0.532825	0.07065	-0.18025	0.16865	0.645825	-0.385	-0.05535	-0.061375	0.413	-0.07135	-0.23475	0.37765	-0.225	-0.347175	-0.23185	0.30765	-0.28335	-0.69235	-0.1589	-0.024725	-0.37235	-0.29335	0.489825	0.25065	-0.415	-0.57435	-0.556175	-0.49335	-0.108	-0.66835	-0.163	1.26	-0.319125	-0.127	-0.17725	-0.04935	-0.31435	0.503	-0.21785	0.76065	-0.00135	-0.395	0.244	0.138825	0.52265	0.12865	-0.084675	0.183	-0.151	-0.664375	0.07065	-0.0593	0.20465	-0.338175	0.009325	0.21165	-0.0432	-0.36	-0.27635	-0.279825	-0.585	-0.382175	-0.474	-0.19935	0.606825	0.12065	-0.859	-0.07805	0.385	-0.30435	-0.30535
"GARS"	-0.342925	0.01585	-0.82485	0.0395	0.299	-0.12765	0.062575	-0.382	-0.211	-0.0838	0.469	-0.39685	0.457	-0.324	-0.20485	-0.59085	-0.00095	-0.13315	-0.21385	-0.09125	0.34115	-0.227	0.24415	-0.173	0.626	-0.14035	0.60615	-0.473	0.525075	-0.31285	-0.29885	-0.0581	0.16	0.02125	-0.104925	-0.61085	-0.018925	-0.029125	-0.476	-0.84185	0.027825	-0.214925	-0.307	0.01745	-0.0683	0.433	-0.42285	0.25215	0.039575	-0.30985	-0.35185	-0.26285	0.336075	0.0493	-0.19485	-0.044775	-0.0641	0.30015	-0.34685	0.03715	-0.147	0.108205	0.08715	-0.86685	-0.28185	-0.27285	0.30915	-0.170025	-0.08315	0.40315	-0.577425	-0.01305	-0.129	0.00785	-0.089575	0.07115	0.245	0.20915	0.319	0.107	0.027225	-0.412	-0.68285	0.07815	-0.76585	0.155	-0.10345	-0.37985	-0.54685	-0.101	-0.422	0.044575	-0.14675	-0.27485	-0.052125	0.194	-0.241	0.533075	0.56215	0.218	-0.01135	0.837575	0.389575	0.08015	0.313	-0.212	-0.01035	-0.134375	0.296	-0.487925	-0.0056	-0.62485	0.194075	0.08715	0.117	0.23215	0.274	-0.12635	-0.11185
"AFAP1L2"	1.148275	-0.30775	0.66955	-0.424	-0.112	-0.25488	-0.716225	0.103	-0.356	0.256	-0.451	-0.70645	0.314	-0.526	-0.63345	-0.66145	-0.61345	-0.69545	-0.31065	-0.18535	0.00055	1.2	1.67655	-0.249	0.0654	-0.36945	-0.32935	0.306	-0.285425	0.18155	-0.67545	0.0975	-1.1	-0.00545	-0.375225	0.62155	0.000275	-0.575425	1.71	-0.66645	0.163775	-0.015825	0.163	0.34855	-0.689	-0.0236	-0.53145	0.05055	0.300775	-0.43645	-0.49145	-0.57845	-0.736225	0.289	-1.23745	-0.105575	-0.318	-0.30485	-0.50945	-0.57745	-0.421	0.510275	0.09655	0.06355	-0.39745	0.15855	-0.27012	0.786275	-0.11745	-0.24585	0.201775	-0.44145	-0.747	0.39655	-0.437975	-0.33985	-0.186	-0.17485	0.105	-0.586	-0.117375	0.157	-0.30125	-0.39645	1.29655	-0.767	-0.44345	-0.85645	-0.25859	-0.28	-0.22	0.180775	-0.60945	-1.49345	0.081275	0.438	-0.383	-0.123725	-0.32765	-0.169	-0.76545	-0.097725	1.113775	0.10555	-0.709	-0.171	-0.22335	-0.478725	0.17	-0.553225	-0.208	-0.29225	0.968275	-0.24205	-0.725	-0.19005	0.55	-0.48545	0.31855
"CDC37"	0.08743725	0.4640745	-0.6219255	-0.23	-0.636	0.2850745	0.16133725	-0.631	0.296	-0.0296	0.253	0.0619745	-0.0142	-0.464	-0.1209255	0.0572745	-0.3259255	-0.2269255	0.4770745	-0.1469255	-0.2489255	-0.0193	0.3010745	0.0975	0.119	-0.2799255	-0.0075255	-0.559	-0.06281275	-0.1289255	-0.5789255	-0.398	-0.643	0.1390745	0.88053725	-0.5029255	-0.29946275	0.30653725	0.935	-0.0190255	-0.21046275	-0.33646275	-0.499	0.2080745	-0.3	0.0202	1.2550745	-0.1669255	-0.42696275	-0.4519255	-0.5539255	-0.3869255	-0.23096275	-0.596	-0.2369255	0.33553725	0.203	0.6540745	0.3580745	-0.1499255	-0.217	0.00212725	0.1550745	0.3860745	0.4990745	0.3170745	0.3340745	0.03008725	0.1620745	-0.3809255	0.15908725	0.0999745	-0.029	0.1157745	0.02253725	-0.9949255	0.301	0.6300745	0.514	0.369	0.20903725	-0.165	0.3100745	0.5340745	-0.4379255	0.321	0.6490745	-0.2079255	-0.1879255	-0.245	0.794	-0.12823825	0.3010745	-0.2729255	-0.13546275	-0.0478	-0.032	-0.42396275	0.2110745	0.448	-0.1279255	-0.34796275	0.38853725	0.1610745	-0.334	0.143	-0.2509255	-0.45896275	-0.182	0.01468725	0.136	-0.0699255	0.07823725	-0.6809255	0.097	0.3260745	0.246	0.0403945	0.2510745
"AAMDC"	0.36875	-0.0673	0.0016	-0.526	-0.071	-0.2644	-0.15635	-0.62	0.691	-0.383	-0.299	-0.1036	-0.0421	0.764	-0.8164	-0.7774	-0.15058	-0.3104	-0.8524	0.2036	0.0516	-0.771	-0.6644	0.0211	-0.048	-0.2499	0.0576	-0.207	0.02745	-0.5374	-0.2332	-0.0513	1.03	-0.0134	0.2753	-0.6514	-0.4762	0.8018	0.724	1.1526	-0.3031	1.0163	-0.273	-0.7254	-0.343	-1.15	-1.1874	0.5126	0.3761	0.0836	-0.2914	0.1626	-0.429775	0.403	-0.4514	-0.04325	-0.522	1.1726	-0.089	-1.3474	0.316	-0.2837	-0.1848	-0.3824	0.4006	-0.1224	0.7036	-0.3547	-0.8224	0.5266	0.1403	0.6256	-0.0953	0.3416	-0.2797	-1.3674	-0.258	-1.1184	-0.116	-0.518	-0.0036	-0.222	0.2726	-1.2874	-0.16422	-0.337	0.2436	0.0766	-0.0374	0.589	1.31	-0.1692	0.2786	1.0426	0.1079	-0.194	0.271	0.0575	0.2806	-0.658	-0.6594	-0.3387	-0.4947	0.1046	0.601	0.134	0.0116	0.15085	-0.707	0.0483	-0.127	-0.6164	-0.0027	-0.5644	0.346	0.5216	0.0608	0.2276	0.2356
"TOP2A"	-1.0634	-0.6078	-0.3728	0.812	0.241	-0.5378	0.1704	0.333	-0.364	0.804	-0.32	0.0622	-0.275	-0.149	-0.2448	-0.2978	-0.3248	-0.0545	-0.0729	-0.2768	0.0512	0.166	0.8362	-0.0665	0.354	0.2502	0.0028	-0.469	-0.6684	0.4262	-0.0035	0.679	0.483	-0.3838	-0.4739	0.3192	0.0599	-0.1664	0.911	0.4202	-0.0903	-0.1954	0.718	0.3252	0.104	0.251	-0.2018	0.1772	0.4641	-0.5418	-0.2208	-0.3528	0.048	0.686	0.6722	0.1036	-0.0199	0.1662	-0.6028	-0.0442	-0.257	0.4986	0.1932	-0.0358	-0.3508	0.1092	-0.2138	-0.09624	0.1302	0.0128	0.0884	0.4962	-0.203	-0.5058	0.5781	1.3912	0.294	0.0554	0.208	0.887	-0.1209	-0.437	0.4992	0.6512	0.1102	-0.138	-0.2818	-0.3558	1.0212	0.635	-0.219	-0.2449	0.5212	1.1912	-0.2414	-0.0566	-0.567	0.0706	0.3292	-0.0537	0.0932	-0.4284	0.2851	0.1622	-0.521	1.27	-0.2928	-0.17785	0.186	-0.1389	0.0586	-0.9258	0.2591	0.1252	-0.545	0.2772	0.184	-0.0447	-0.6798
"NSFL1C"	0.064925	-0.65335	-0.46935	-0.498	-0.319	-0.14235	0.058675	-0.117	0.258	0.0551	-0.359	0.08065	0.107	-0.101	-0.24935	-0.03435	-0.24435	0.10465	-0.31735	-0.00535	-0.25135	-0.565	-0.37735	-0.121	-0.269	-0.19705	-0.67935	0.346	-0.284175	0.27265	0.10265	-0.313	1.09	0.30165	-0.462675	-0.16805	-0.497675	0.311825	-0.465	-0.35235	-0.233175	0.000725	0.229	1.05865	1.42	-0.485	-0.47335	-0.121025	0.308825	-0.28835	-0.70635	-0.06595	-0.417175	0.411	-0.52335	-0.234275	-0.0766	-0.10715	-0.19645	0.02565	0.154	0.047325	-0.21235	0.41365	-0.15235	0.51065	0.00265	0.064825	0.02765	-0.36035	0.038925	0.01865	-0.152	-0.16225	-0.546675	-1.28135	0.0278	0.35165	-0.135	-0.414	-0.157725	0.144	0.01465	0.11665	0.79965	0.11	0.27965	0.77465	0.05365	-0.358	0.193	-0.321675	-0.04975	0.26865	0.066025	-0.00699	0.115	-0.073175	-0.96535	-0.145	0.30265	-0.232425	0.135275	-0.44335	-0.443	0.595	-0.32235	0.435825	0.359	0.213825	0.841	-0.28635	0.035525	-1.54135	-0.126	-0.70635	-0.111	-0.08855	0.30765
"ECH1"	-0.156225	-0.94945	-0.37215	-0.458	-0.107	-0.72245	-0.072225	0.0551	-0.179	0.701	-0.0746	-0.01545	-1.01	0.0932	-0.24645	-0.69245	-0.07145	0.55755	-0.12645	-0.76045	1.32855	0.231	0.11055	-0.364	0.268	-0.43095	0.17255	-0.728	-0.271725	-0.84845	1.27855	1.16	0.024	-0.70345	-0.471275	0.34455	-0.522225	0.180275	1.04	0.19155	-0.338225	-0.707225	0.402	0.02355	-0.606	-0.514	0.09255	-0.35565	0.023775	-0.71045	-0.49645	-0.07945	-0.756225	-0.239	1.64855	-0.418325	-0.383	1.60855	-0.64045	-0.91045	-0.647	0.552275	-0.26355	-0.26595	-0.39585	0.14555	0.10755	-0.882725	0.64455	-0.10145	-0.443725	-0.40965	-0.548	-0.52645	0.694775	0.10155	-0.995	-0.53345	-0.939	3.05	-0.747725	0.601	0.26555	-0.64845	-0.56645	-0.755	-0.94145	-0.57445	-0.24255	1.49	-0.683	-0.980225	-0.58145	0.08855	0.845275	0.442	0.215	-0.408425	-0.63145	-0.937	0.23055	0.257775	0.070225	-0.50245	-0.936	-0.154	-0.49945	0.580275	-0.516	-0.408275	-0.73	-1.41145	-0.348425	0.29255	-0.759	-0.32205	0.147	-0.94945	-0.67245
"PAK4"	0.09739	-0.13112	-0.57912	-0.331	-0.016	-0.85512	-0.44106	-0.292	0.291	0.0487	0.2	0.17888	-0.327	-0.226	0.09788	-0.43412	0.21088	-0.01502	-0.027009	-0.07592	1.41288	0.175	0.02808	-0.209	-0.106	-0.43012	-0.18112	-0.501	-0.28256	-0.36812	0.44988	0.241	0.67	-0.48012	0.13329	0.37988	-0.07494	0.13844	0.488	-0.10632	0.16794	-0.33756	0.265	-0.02069	-0.485	0.147	-0.17912	-0.07182	0.54844	-0.98712	-0.20412	-0.18612	-0.01826	-0.398	1.26288	-0.01161	0.127	1.26288	-0.89812	-0.38512	-0.25	0.34444	0.13888	0.03468	-0.28612	-0.05412	0.19288	0.58194	0.22688	0.09188	0.23444	0.25388	-0.156	0.22288	0.25789	-0.09952	-0.356	-0.00752	0.313	1.64	-0.27006	-0.14	0.02818	-0.34712	0.21688	-0.305	-0.26712	-0.01132	0.34488	1.64	-0.0144	-0.37256	-0.19412	0.46688	0.56344	-0.141	0.21	0.30944	0.00698	-0.621	0.57888	-0.11656	0.01808	-0.10692	-0.527	0.288	-0.49312	0.47149	0.116	-0.05646	-0.396	-0.47812	-0.29956	0.27988	-0.455	0.07788	1.01	0.01848	0.18988
"OPA1"	-0.202775	0.16145	-0.16175	-0.127	0.114	-0.20755	0.198225	-0.22	0.0273	0.206	0.338	-1.16255	-0.128	0.021	0.75345	-0.25255	-0.55455	0.09645	-0.21855	-0.29655	0.20245	0.0305	0.15945	0.239	0.179	-0.21255	-0.48555	-0.12	0.524225	-0.39155	0.43845	0.573	0.838	-0.16655	0.353725	-0.17355	-0.111775	0.814225	-0.199	0.17445	-0.070775	0.410225	-0.593	-0.35455	0.382	0.00594	0.07445	-0.47555	-0.475275	0.06345	0.15845	-0.10755	-0.095025	0.163	0.30845	-0.10872	-0.471	-0.14975	-0.34055	-0.17455	-0.0314	0.139225	0.58045	0.59745	0.24845	0.28945	-0.75455	-0.449775	-0.24655	-0.11485	0.501725	-0.20755	-0.315	-0.09665	0.239225	0.51845	-0.271	0.61945	-0.516	-0.15	0.178725	-0.0256	0.06645	-0.05045	-0.58755	-0.945	0.74645	-0.36155	-0.27955	-0.00796	0.0288	0.380225	-0.05748	0.09445	-0.046775	-0.221	-0.0697	-0.577275	0.13045	-0.00888	-0.56855	0.094725	0.387225	-0.40055	0.105	0.153	-0.06581	-0.715775	-0.116	0.612225	-0.0361	-0.09175	-0.314275	-0.19755	0.355	-0.16655	0.0601	-0.04135	-0.20455
"BPNT1"	0.50955	-0.069	0.3881	-0.204	0.757	0.3201	0.59755	0.0273	0.37	-0.292	-0.789	-0.1799	-0.326	0.0934	-0.0289	-0.3299	0.2091	0.2411	0.2241	-0.03381	-0.1047	-0.33	0.3281	-0.669	0.281	0.1421	0.0751	-0.51	0.08065	-0.3649	0.4141	-0.248	-1.82	-0.4689	-0.33245	-0.2479	-0.58095	0.19755	0.463	0.2091	-0.14085	-0.22665	-0.0461	-0.4799	0.715	-0.209	0.0861	0.6321	0.021	0.9011	-0.1819	-0.1789	-0.88645	0.983	-0.6519	0.14455	0.118	0.9991	0.0231	1.0691	0.461	-0.13065	-0.4339	0.6621	-0.4309	-0.2349	-0.0557	-0.45345	0.1411	-0.5359	-0.57745	-0.2159	-0.472	0.1601	-0.0513	-0.7859	0.0119	-0.3839	-0.233	0.175	0.26755	0.342	-0.078	0.1921	-0.2449	-0.0352	0.1441	0.1741	-0.4389	-0.169	0.292	-0.70595	0.5351	-0.7309	-0.50295	-0.0408	-0.0829	-0.75845	-0.4079	0.246	0.4941	0.0201	0.1478	0.2571	-0.395	0.092	0.3511	-0.052	-0.415	0.48305	0.235	0.0105	0.10955	0.6931	-0.155	-0.1439	0.0712	-0.2869	0.5331
"ALDH3A2"	0.993475	0.0125	0.32295	0.739	0.294	0.61195	-0.247025	0.354	0.127	-0.443	0.0128	0.05165	-0.297	0.56	-0.05095	-0.03545	-0.19305	0.33495	0.33695	-0.58005	-0.11005	-0.659	0.06445	0.0404	-0.542	0.55695	0.23495	-0.433	-0.145025	-0.33105	0.19295	-1.04	-0.491	0.09155	-0.220525	-0.53605	-0.190425	-0.388525	0.56	0.25395	0.161475	0.076225	0.681	-0.37005	-0.111	0.608	-0.11805	0.25895	0.049975	0.35495	-0.04625	-0.37705	0.304475	0.623	0.31595	0.425975	-0.1	0.11995	0.015292	0.05595	0.135	-0.486025	-0.18105	0.52495	-0.26005	0.02052	0.61895	-0.360675	-0.40105	-0.01625	-0.192025	-0.34105	-0.132	0.40495	0.935975	0.34695	-0.129	-0.18605	-0.191	-0.28	-0.062225	0.417	0.02945	1.70595	0.45395	-0.263	-0.02155	-0.24005	0.17195	0.468	0.229	0.024375	-0.00465	-0.21705	0.169175	0.457	0.179	-0.243275	-0.42405	0.0299	0.13595	-0.223605	0.466475	0.32095	0.15	0.593	0.25095	0.237975	-0.34	-0.044275	0.0946	0.22595	-0.214425	0.21795	0.317	-0.39205	-0.564	0.28995	0.54095
"PAFAH1B3"	0.0156525	-0.477495	-0.068795	-0.359	0.271	-0.749495	0.0626525	0.422	0.316	0.725	0.286	-0.228495	-0.0894	-0.00902	-0.401495	-0.746495	0.023005	0.389505	-0.455495	0.194505	-0.120495	0.0941	0.336505	-0.137	0.307	0.242505	0.709505	-0.12	-0.2377475	0.180505	0.472505	0.398	0.764	-0.275495	-0.6357475	-0.049695	0.1432025	-0.4417475	0.0771	0.014605	0.2267525	0.3217525	1.2	-0.102995	0.0719	-0.648	0.360505	0.920505	1.2607525	-0.549495	0.217505	-0.431495	-0.5807475	0.376	-0.550495	0.0744025	0.151	1.891505	-0.467495	-0.262495	-0.276	0.2380175	-0.438495	-0.651495	0.046005	0.145505	-0.473495	0.3982525	0.186505	0.302505	0.2912475	0.347505	-0.0378	-0.175495	2.4307525	0.930505	0.563	-0.311495	-0.35	-0.479	0.6232525	-0.716	-0.381495	0.220505	-0.366495	-0.0927	-0.451495	-0.128495	-0.224495	-0.577	-0.442	-0.2159525	0.223505	1.741505	-0.2112475	-0.182	-0.0777	0.3397525	0.192505	-0.533	-0.404495	-0.1112475	-0.0587475	-0.130495	0.261	1.3	-0.419495	0.0006625	0.686	0.0023675	-0.117	-0.568495	0.2297525	-0.131495	0.243	0.007705	-0.276	-0.109595	1.021505
"FKBP4"	-0.11435	-0.6513	-0.3593	-0.274	-0.224	-1.0953	-0.22615	0.964	-0.177	-0.818	0.118	0.0277	-0.214	0.149	0.3107	-0.044439	-0.8383	-0.1623	-0.0206	0.2357	0.0657	-0.0255	-0.9843	-0.833	-0.389	-0.5003	-0.4793	-0.244	-0.40015	0.5027	0.6267	-0.326	1.37	0.6127	0.67185	-0.2663	-0.40365	-0.48865	-0.134	0.3727	-0.46215	0.0597	0.555	-0.0842	-0.17	-0.172	-0.0304	-0.3263	-0.30265	0.1417	-0.2763	0.3507	0.83835	-0.124	-0.6933	0.0193	-0.069	0.5027	0.1687	0.3597	0.178	0.67035	-0.5603	-0.7513	-0.059	0.0917	-0.1383	-0.08615	-0.1096	-0.7063	0.34835	-0.1175	0.214	0.4297	0.29435	0.2787	-0.589	0.6617	-0.00851	0.676	-0.88365	0.72	-0.2663	0.1357	0.1657	-0.434	-0.2573	-0.3053	-0.3163	0.108	-0.687	-0.71065	0.4567	0.4167	-0.22125	-0.101	-0.109	-0.97965	0.2697	0.104	1.5647	-0.05265	0.53885	0.0196	-0.398	1.08	-0.1371	-0.0099305	-0.113	-0.37415	0.252	-0.0834	0.78335	0.4427	-0.205	0.4117	-0.103	0.2147	-0.5313
"ACTN4"	0.1260675	-0.095585	-0.403865	-0.808	-0.247	-0.087065	-0.4659325	-0.222	0.0959	-0.149	0.222	-0.353865	-0.107	0.0769	0.148135	-0.205865	-0.103395	0.143135	-0.052265	-0.457865	0.637135	-0.158	0.358135	-0.313	0.111	-0.259865	0.427135	0.129	0.4570675	-0.471865	0.121135	0.174	-0.568	0.163135	0.2390675	0.574135	-0.0715325	-0.1573825	0.465	0.474135	0.1495675	-0.5659325	-0.293	-0.237865	-1.03	0.00901	0.020135	-0.088865	-0.1219325	-0.775865	-0.424865	-0.140965	-0.9029325	-0.642	1.229135	-0.2059325	-0.0333	1.319135	-0.483865	-0.576865	-0.183	-0.3499325	0.285135	-0.014565	-0.303865	-0.001065	0.092135	0.2885675	0.145135	0.312135	0.0238175	0.139135	-0.249	-0.058465	0.1219675	-1.050865	-0.108	-0.573865	-0.353	2.61	-0.0148175	-0.137	-0.131365	-0.592865	-0.287865	0.156	-0.488865	0.050135	0.279135	1.32	-0.125	0.2280675	0.110135	0.060135	0.8825675	0.009	-0.17	0.1565675	-0.462865	-0.62	0.167135	0.3360675	-0.2359325	-0.364865	-0.0756	-0.386	0.504135	0.1272675	0.101	-0.5849325	-0.357	-0.071965	0.0528675	-0.505865	-0.0843	0.283135	-0.0987	-0.223865	-0.237865
"BLVRA"	-0.4887	0.01259	-0.1284	0.166	0.123	0.2906	0.3538	-0.345	0.0658	0.109	0.356	-0.4364	0.161	-0.113	0.2656	-0.1834	0.5496	-0.3044	0.1726	-0.4104	-0.0824	-0.583	0.4686	0.155	0.0509	0.2866	-0.1334	-0.143	0.064515	-0.0286	0.0674	0.221	-0.445	-0.1494	-0.0512	-0.2884	-0.10715	-0.1033	-0.473	-0.6454	0.2223	0.01745	-0.902	-0.7434	-0.0578	0.399	-0.4584	-1.2114	0.2538	0.1396	-0.0138	0.1046	0.1953	0.474	-0.0954	0.5298	0.124	0.1466	-0.1464	0.2616	-1.81e-05	0.2178	-0.007	0.0535	-0.1434	0.2206	-0.4974	0.582085	0.2426	-0.3774	-0.3067	0.6516	0.0814	0.3266	-0.4317	0.6556	0.155	-0.0994	0.112	-0.521	-0.4197	0.0858	0.0306	-0.1724	-0.1994	-0.191	-0.0491	-0.1744	-0.1474	-0.117	0.449	-0.0797	0.6186	0.6476	0.1528	0.425	0.422	0.4683	-0.3754	0.103	0.2716	0.1903	1.1518	0.0415	0.291	0.11	-0.1094	-0.0282	-0.103	-0.6427	-0.351	-0.056	0.00685	-0.1334	0.331	0.3436	0.64	-0.3594	-0.5294
"BIN1"	0.3068375	0.054575	-0.356325	-0.193	0.453	-0.077325	0.2323375	0.291	0.128	0.29	0.262	0.485675	0.057	0.178	0.607675	-0.229325	0.620675	0.618675	-0.241325	-0.662325	0.446675	0.107	0.360675	0.312	-0.502	0.195675	-0.371325	-0.128	0.0442375	0.059175	0.440675	-0.759	0.289	0.395675	0.2253375	0.495675	0.6368375	0.0287875	0.6	0.163675	-0.2966625	0.0245125	-0.248	-0.642325	0.4	0.932	-0.389325	-0.148325	-0.0066125	0.360675	-0.187325	-0.293325	-0.3226625	0.233	-0.306325	0.5193375	0.507	0.307675	-0.418325	-0.364325	0.135	-0.6206625	-0.052925	0.424675	-0.092325	-0.037125	0.476675	0.0523375	0.048375	0.227675	0.1080875	-0.185325	0.349	-0.082325	-0.6141625	-0.571325	-0.0934	-0.418325	0.0381	-0.75	-0.0287625	0.341	0.360675	-0.439325	0.388675	-0.119	0.168675	-0.057425	-0.381325	-0.218	0.789	-0.1776625	0.657675	-0.913325	0.2693875	0.132	-0.222	-0.0574625	-0.679325	-0.11	0.154675	-0.0256625	1.2148375	0.277675	0.142	0.0885	-0.037125	-0.1821625	-0.144	-0.0141625	-0.054	-0.162325	0.0038375	0.450675	-0.215	0.134675	-0.0862	0.104775	1.109675
"CKMT1A"	-0.3505	-0.0039	-0.867	0.691	-0.897	0.1196	1.2425	-1.54	0.692	-0.896	-0.898	0.267	-0.559	1.09	-0.804	0.159	0.834	0.498	-1.165	-1.735	0.322	0.425	0.331	-0.405	-0.36	0.843	0.707	-0.888	-0.8215	-0.862	-0.188	-1.2	-0.0768	-0.975	-0.332	-0.4	0.2205	1.0675	-1.11	-0.161	-0.3575	-0.1127	-1.33	-0.075	-0.964	-1.07	0.152	0.706	1.9375	1.365	0.595	-0.247	-0.1435	-0.37	-0.964	1.0575	-0.175	0.425	0.03142	0.297	-0.444	0.8565	-0.036	-1.495	-0.151	0.294	-0.295	0.21725	0.852	0.745	0.45	0.562	-1.26	0.76	0.526	-0.127	0.171	-0.0015	-1.3	-0.838	1.3125	-1.58	1.135	0.466	-0.588	-0.446	1.006	-1.545	-0.142	0.172	-0.991	-1.2225	1.075	2.005	-0.7945	-0.894	-1.2	-1.342	0.991	1.09	0.443	-0.4965	1.031	-0.419	0.474	0.497	1.013	-0.672	0.0603	-1.1175	-0.0647	0.245	-1.2375	-0.242	-0.51	0.0248	-1.45	-0.302	0.2
